id,elevation,capture_time,file_name,Y,X,Z,time
1263,815.5999756,2019-04-28T18:02:16.000Z,activity_3599697933.gpx,5481592.279,473926.7505,815.5999756,1556474536000
1264,815.7999878,2019-04-28T18:02:18.000Z,activity_3599697933.gpx,5481590.404,473929.0242,815.7999878,1556474538000
1265,816,2019-04-28T18:02:19.000Z,activity_3599697933.gpx,5481588.979,473928.9931,816,1556474539000
1266,816.2000122,2019-04-28T18:02:21.000Z,activity_3599697933.gpx,5481587.055,473927.7819,816.2000122,1556474541000
1267,817.2000122,2019-04-28T18:02:24.000Z,activity_3599697933.gpx,5481584.025,473926.1464,817.2000122,1556474544000
1268,817.4000244,2019-04-28T18:02:25.000Z,activity_3599697933.gpx,5481582.815,473925.8371,817.4000244,1556474545000
1269,817.7999878,2019-04-28T18:02:27.000Z,activity_3599697933.gpx,5481580.304,473924.8416,817.7999878,1556474547000
1270,818,2019-04-28T18:02:29.000Z,activity_3599697933.gpx,5481577.126,473922.8837,818,1556474549000
1271,818,2019-04-28T18:02:31.000Z,activity_3599697933.gpx,5481573.871,473921.4962,818,1556474551000
1272,818,2019-04-28T18:02:36.000Z,activity_3599697933.gpx,5481567.249,473922.8062,818,1556474556000
1273,818.2000122,2019-04-28T18:02:40.000Z,activity_3599697933.gpx,5481568.903,473925.8071,818.2000122,1556474560000
1274,818.7999878,2019-04-28T18:02:42.000Z,activity_3599697933.gpx,5481570.761,473926.9694,818.7999878,1556474562000
1275,819.4000244,2019-04-28T18:02:45.000Z,activity_3599697933.gpx,5481571.969,473929.6464,819.4000244,1556474565000
1276,820,2019-04-28T18:02:48.000Z,activity_3599697933.gpx,5481575.485,473932.8141,820,1556474568000
1277,820.4000244,2019-04-28T18:02:50.000Z,activity_3599697933.gpx,5481577.617,473935.3194,820.4000244,1556474570000
1278,820.7999878,2019-04-28T18:02:51.000Z,activity_3599697933.gpx,5481578.402,473936.853,820.7999878,1556474571000
1279,821.5999756,2019-04-28T18:02:54.000Z,activity_3599697933.gpx,5481578.311,473940.2766,821.5999756,1556474574000
1280,821.7999878,2019-04-28T18:02:56.000Z,activity_3599697933.gpx,5481577.084,473941.4971,821.7999878,1556474576000
1281,822.4000244,2019-04-28T18:02:59.000Z,activity_3599697933.gpx,5481574.488,473940.6226,822.4000244,1556474579000
1282,822.7999878,2019-04-28T18:03:01.000Z,activity_3599697933.gpx,5481572.311,473939.8655,822.7999878,1556474581000
1283,823.2000122,2019-04-28T18:03:04.000Z,activity_3599697933.gpx,5481569.81,473938.8336,823.2000122,1556474584000
1284,823.5999756,2019-04-28T18:03:06.000Z,activity_3599697933.gpx,5481567.913,473937.9686,823.5999756,1556474586000
1285,823.7999878,2019-04-28T18:03:09.000Z,activity_3599697933.gpx,5481565.261,473937.1303,823.7999878,1556474589000
